TQ:Q, TS:S, q_pos, s_pos, q, s, d
77637:6, 1308:0, 0, 2, [], [], 0.000
77637:6, 1315:1, 0, 10, [], [], 0.000
77637:6, 1332:2, 0, 1, [], [], 0.000
77637:6, 1332:4, 0, 0, [], [], 0.000
77637:6, 1332:5, 0, 1, [], [], 0.000
77637:6, 1366:0, 0, 2, [], [], 0.000
77637:6, 1369:0, 0, 6, [], [], 0.000
77637:6, 1377:0, 0, 2, [], [], 0.000
77637:6, 1377:3, 0, 2, [], [], 0.000
77637:6, 1377:4, 0, 2, [], [], 0.000
77637:6, 1377:5, 0, 2, [], [], 0.000
77637:6, 1384:6, 0, 0, [], [], 0.000
77637:6, 1386:3, 0, 2, [], [], 0.000
77637:6, 1402:0, 0, 2, [], [], 0.000
77637:6, 1402:3, 0, 2, [], [], 0.000
77637:6, 1402:4, 0, 2, [], [], 0.000
77637:6, 1402:5, 0, 2, [], [], 0.000
77637:6, 1407:0, 0, 2, [], [], 0.000
77637:6, 1409:0, 0, 8, [], [], 0.000
77637:6, 1418:7, 0, 0, [], [], 0.000
77637:6, 1430:3, 0, 1, [], [], 0.000
77637:6, 1455:6, 0, 1, [], [], 0.000
77637:6, 1463:1, 0, 0, [], [], 0.000
77637:6, 1465:1, 0, 2, [], [], 0.000
77637:6, 1469:6, 0, 0, [], [], 0.000
77637:6, 1473:3, 0, 1, [], [], 0.000
77637:6, 1475:2, 0, 0, [], [], 0.000
77637:6, 1481:10, 0, 1, [], [], 0.000
77637:6, 1486:0, 0, 2, [], [], 0.000
77637:6, 1505:3, 0, 1, [], [], 0.000
77637:6, 1511:0, 0, 2, [], [], 0.000
77637:6, 1511:3, 0, 2, [], [], 0.000
77637:6, 1511:4, 0, 2, [], [], 0.000
77637:6, 1513:1, 0, 0, [], [], 0.000
77637:6, 1513:7, 0, 1, [], [], 0.000
77637:6, 1513:10, 0, 2, [], [], 0.000
77637:6, 1518:0, 0, 12, [], [], 0.000
77637:6, 1532:0, 0, 1, [], [], 0.000
77637:6, 1532:2, 0, 1, [], [], 0.000
77637:6, 1533:1, 0, 3, [], [], 0.000
77637:6, 1535:5, 0, 0, [], [], 0.000
77637:6, 1544:1, 0, 0, [], [], 0.000
77637:6, 1557:0, 0, 2, [], [], 0.000
77637:6, 1557:1, 0, 5, [], [], 0.000
77637:6, 1557:3, 0, 2, [], [], 0.000
77637:6, 1558:2, 0, 1, [], [], 0.000
77637:6, 1569:6, 0, 0, [], [], 0.000
77637:6, 1574:4, 0, 2, [], [], 0.000
77637:6, 1582:0, 0, 2, [], [], 0.000
77637:6, 1582:3, 0, 2, [], [], 0.000
77637:6, 1582:4, 0, 2, [], [], 0.000
77637:6, 1582:5, 0, 2, [], [], 0.000
77637:6, 1659:6, 0, 0, [], [], 0.000
77637:6, 1667:1, 0, 0, [], [], 0.000
77637:6, 1668:1, 0, 2, [], [], 0.000
77637:6, 1668:2, 0, 1, [], [], 0.000
77637:6, 1669:0, 0, 1, [], [], 0.000
77637:6, 1671:4, 0, 2, [], [], 0.000
77637:6, 1674:1, 0, 2, [], [], 0.000
77637:6, 1688:1, 0, 1, [], [], 0.000
77637:6, 1690:0, 0, 2, [], [], 0.000
77637:6, 1696:6, 0, 0, [], [], 0.000
77637:6, 1699:6, 0, 0, [], [], 0.000
77637:6, 1701:0, 0, 12, [], [], 0.000
77637:6, 1588:6, 0, 0, [], [], 0.000
77637:6, 1589:1, 0, 3, [], [], 0.000
77637:6, 1590:0, 0, 1, [], [], 0.000
77637:6, 1590:3, 0, 3, [], [], 0.000
77637:6, 1594:3, 0, 1, [], [], 0.000
77637:6, 1597:0, 0, 2, [], [], 0.000
77637:6, 1598:2, 0, 0, [], [], 0.000
77637:6, 1599:6, 0, 0, [], [], 0.000
77637:6, 1606:0, 0, 2, [], [], 0.000
77637:6, 1611:4, 0, 3, [], [], 0.000
77637:6, 1611:11, 0, 2, [], [], 0.000
77637:6, 1611:13, 0, 2, [], [], 0.000
77637:6, 1611:14, 0, 2, [], [], 0.000
77637:6, 1611:15, 0, 2, [], [], 0.000
