k,d,recall,time
684,0.327597,1.000000,1.596090
685,0.327597,1.000000,1.596090
686,0.327597,1.000000,1.596090
687,0.327597,1.000000,1.596090
688,0.327725,1.000000,1.596090
689,0.327761,1.000000,1.596090
690,0.327763,1.000000,1.596090
691,0.327901,1.000000,1.596090
692,0.327910,1.000000,1.596090
693,0.327972,1.000000,1.596090
694,0.327995,1.000000,1.596090
695,0.328320,0.988620,1.596090
696,0.328399,0.990043,1.596090
697,0.328399,0.991465,1.596090
698,0.328399,0.992888,1.596090
699,0.328399,0.994310,1.596090
700,0.328399,0.995733,1.596090
701,0.328399,0.997155,1.596090
702,0.328399,0.998578,1.596090
703,0.328409,1.000000,1.596090
704,0.328534,1.000000,1.596090
705,0.328605,1.000000,1.596090
706,0.328743,1.000000,1.596090
707,0.328829,1.000000,1.596090
708,0.328952,1.000000,1.596090
709,0.328974,1.000000,1.596090
710,0.329020,0.983379,1.596090
711,0.329072,0.984765,1.596090
712,0.329072,0.986150,1.596090
713,0.329072,0.987535,1.596090
714,0.329072,0.988920,1.596090
715,0.329072,0.990305,1.596090
716,0.329072,0.991690,1.596090
717,0.329072,0.993075,1.596090
718,0.329074,0.994460,1.596090
719,0.329078,0.995845,1.596090
720,0.329163,0.997230,1.596090
721,0.329184,0.998615,1.596090
722,0.329203,1.000000,1.596090
723,0.329503,1.000000,1.596090
724,0.329548,1.000000,1.596090
725,0.329589,1.000000,1.596091
726,0.329631,1.000000,1.596091
727,0.329638,1.000000,1.596091
728,0.329638,1.000000,1.596091
729,0.329638,1.000000,1.596091
730,0.329658,1.000000,1.596091
731,0.329743,1.000000,1.596091
732,0.329790,1.000000,1.596091
733,0.329801,1.000000,1.596091
734,0.329908,1.000000,1.596091
735,0.330068,0.994587,1.596091
736,0.330136,0.995940,1.596091
737,0.330163,0.997294,1.596091
738,0.330176,0.998647,1.596091
739,0.330200,1.000000,1.596091
740,0.330529,1.000000,1.596091
741,0.330675,1.000000,1.596091
742,0.330976,1.000000,1.596091
743,0.330976,1.000000,1.596091
744,0.330976,1.000000,1.596091
745,0.330976,1.000000,1.596091
746,0.330976,1.000000,1.596091
