tq:q,ts:s,overlap
t1793:c0,t5407894:c3,74
t1793:c0,t5562157:c3,88
t1793:c0,t5712479:c3,97
t1793:c0,t5762973:c3,97
t1793:c0,t5813457:c3,74
t1793:c0,t5973424:c3,97
t1793:c0,t6249940:c3,97
t1793:c0,t6400475:c3,98
t1793:c0,t64353:c3,99
t1793:c0,t64353:c3,98
t1793:c0,t64353:c3,98
t1793:c0,t64353:c3,82
t1793:c0,t6817097:c3,98
t1793:c0,t6827480:c3,98
t1793:c0,t6932615:c3,99
t1793:c0,t6932615:c3,98
t1793:c0,t6932615:c3,99
t1793:c0,t6932615:c3,96
t1793:c0,t6932615:c3,85
t1793:c0,t6972549:c3,97
t1793:c0,t7037959:c3,98
t1793:c0,t7060096:c3,97
t1793:c0,t7067221:c3,99
t1793:c0,t7614471:c3,99
t1793:c0,t776327:c3,98
t1793:c0,t7864274:c3,99
t1793:c0,t7911700:c3,99
t1793:c0,t7920387:c3,98
t1793:c0,t8008840:c3,99
t1793:c0,t8116718:c3,91
t1793:c0,t8380830:c3,93
t1793:c0,t8403369:c3,92
t1793:c0,t8512291:c3,98
t1793:c0,t8562624:c3,99
t1793:c0,t8992011:c3,95
t1793:c0,t8996760:c3,98
t1793:c0,t8996760:c3,96
t1793:c0,t9295839:c3,94
t1793:c0,t9697980:c3,94
t1793:c0,t9740446:c3,94
t1793:c0,t9740446:c3,96
t1793:c0,t9743439:c3,97
t1793:c0,t9743762:c3,97
t1793:c0,t9764595:c3,98
t1793:c0,t9819216:c3,98
t1793:c0,t10060384:c3,97
t1793:c0,t10166404:c3,99
t1793:c0,t10207832:c3,99
t1793:c0,t10225728:c3,97
t1793:c0,t10232042:c3,95
t1793:c0,t1218059:c3,88
t1793:c0,t1218059:c3,95
t1793:c0,t1218059:c3,95
t1793:c0,t1276527:c3,88
t1793:c0,t1276527:c3,98
t1793:c0,t1276527:c3,87
t1793:c0,t1296201:c3,89
t1793:c0,t1377796:c3,99
t1793:c0,t1381007:c3,98
t1793:c0,t1381007:c3,99
t1793:c0,t1492409:c3,97
t1793:c0,t1492409:c3,93
t1793:c0,t1493212:c3,91
t1793:c0,t1493212:c3,98
t1793:c0,t1493212:c3,96
t1793:c0,t1493212:c3,99
t1793:c0,t153249:c3,91
t1793:c0,t153249:c3,98
t1793:c0,t153249:c3,96
t1793:c0,t153249:c3,99
t1793:c0,t1611181:c3,92
t1793:c0,t1656697:c3,98
t1793:c0,t1828015:c3,95
t1793:c0,t1828015:c3,98
t1793:c0,t1828015:c3,98
t1793:c0,t1828015:c3,96
t1793:c0,t1828015:c3,96
t1793:c0,t1828015:c3,99
t1793:c0,t2081443:c3,97
t1793:c0,t2236717:c3,98
t1793:c0,t2462362:c3,97
t1793:c0,t2642484:c3,99
t1793:c0,t2729020:c3,98
t1793:c0,t2761219:c3,99
t1793:c0,t2943874:c3,98
t1793:c0,t2992888:c3,75
t1793:c0,t2992888:c3,99
t1793:c0,t2992888:c3,69
t1793:c0,t3207665:c3,99
t1793:c0,t3207665:c3,99
t1793:c0,t3207665:c3,84
t1793:c0,t3248581:c3,97
t1793:c0,t3278546:c3,97
t1793:c0,t3364278:c3,97
t1793:c0,t3429711:c3,94
t1793:c0,t3678421:c3,92
t1793:c0,t3687181:c3,98
t1793:c0,t3828164:c3,95
t1793:c0,t3837892:c3,95
t1793:c0,t388319:c3,96
t1793:c0,t4016900:c3,99
t1793:c0,t4095908:c3,99
t1793:c0,t4274292:c3,91
t1793:c0,t4274292:c3,98
t1793:c0,t4274292:c3,96
t1793:c0,t4274292:c3,99
t1793:c0,t4285684:c3,95
t1793:c0,t4342260:c3,97
t1793:c0,t4388342:c3,96
t1793:c0,t4788910:c3,95
t1793:c0,t4788910:c3,96
t1793:c0,t4788910:c3,98
t1793:c0,t486590:c3,99
t1793:c0,t4957369:c3,99
t1793:c0,t4986823:c3,97
t1793:c0,t5081328:c3,99
t1793:c0,t5347633:c3,99
t1793:c0,t5498967:c3,74
t1793:c0,t5507445:c3,99
t1793:c0,t5552800:c3,91
t1793:c0,t5552800:c3,98
t1793:c0,t5552800:c3,96
t1793:c0,t5552800:c3,99
t1793:c0,t561518:c3,89
t1793:c0,t561518:c3,99
t1793:c0,t5755806:c3,86
t1793:c0,t5879266:c3,99
t1793:c0,t5879266:c3,84
t1793:c0,t5940606:c3,95
t1793:c0,t5980613:c3,99
t1793:c0,t5980613:c3,98
t1793:c0,t5980613:c3,95
t1793:c0,t5980613:c3,87
t1793:c0,t5981839:c3,88
t1793:c0,t5981839:c3,98
t1793:c0,t5981839:c3,87
t1793:c0,t6192015:c3,99
t1793:c0,t6222742:c3,99
t1793:c0,t6349752:c3,99
t1793:c0,t6349752:c3,99
t1793:c0,t6349752:c3,99
t1793:c0,t6449075:c3,94
t1793:c0,t6887888:c3,96
t1793:c0,t6887888:c3,98
t1793:c0,t6887888:c3,96
t1793:c0,t6977621:c3,85
t1793:c0,t7258489:c3,91
t1793:c0,t7258489:c3,99
t1793:c0,t7467300:c3,97
t1793:c0,t7491525:c3,95
t1793:c0,t7491525:c3,91
t1793:c0,t7491525:c3,84
t1793:c0,t7505814:c3,99
t1793:c0,t7552063:c3,91
t1793:c0,t7552063:c3,98
t1793:c0,t7552063:c3,96
t1793:c0,t7552063:c3,99
t1793:c0,t765755:c3,99
t1793:c0,t7782498:c3,99
t1793:c0,t8035289:c3,95
t1793:c0,t8035289:c3,97
t1793:c0,t8035289:c3,97
t1793:c0,t8054442:c3,91
t1793:c0,t8054442:c3,98
t1793:c0,t8054442:c3,96
t1793:c0,t8054442:c3,99
t1793:c0,t8201636:c3,98
t1793:c0,t8766932:c3,99
t1793:c0,t8891993:c3,99
t1793:c0,t8891993:c3,98
t1793:c0,t8891993:c3,98
t1793:c0,t8891993:c3,84
t1793:c0,t8975586:c3,99
t1793:c0,t8975586:c3,98
t1793:c0,t8975586:c3,99
t1793:c0,t8975586:c3,83
t1793:c0,t9097496:c3,91
t1793:c0,t9357242:c3,99
t1793:c0,t9357242:c3,99
t1793:c0,t9540451:c3,76
t1793:c0,t9540451:c3,97
t1793:c0,t9540451:c3,99
t1793:c0,t954394:c3,99
t1793:c0,t954394:c3,92
t1793:c0,t954394:c3,95
t1793:c0,t954394:c3,96
t1793:c0,t9633321:c3,97
t1793:c0,t9633321:c3,97
t1793:c0,t9633321:c3,97
t1793:c0,t10005814:c3,99
t1793:c0,t10005814:c3,98
t1793:c0,t10005814:c3,98
t1793:c0,t10056102:c3,92
t1793:c0,t102365:c3,97
t1793:c0,t102365:c3,98
t1793:c0,t102365:c3,96
t1793:c0,t10241076:c3,93
t1793:c0,t10241076:c3,95
t1793:c0,t10241076:c3,95
t1793:c0,t10264535:c3,99
t1793:c0,t10264535:c3,98
t1793:c0,t10264535:c3,97
t1793:c0,t1135496:c3,99
t1793:c0,t1135496:c3,99
t1793:c0,t1410271:c3,99
t1793:c0,t1859010:c3,99
t1793:c0,t1859010:c3,99
t1793:c0,t1859010:c3,99
t1793:c0,t1928103:c3,97
t1793:c0,t2090130:c3,87
t1793:c0,t2175125:c3,99
t1793:c0,t2491403:c3,94
t1793:c0,t2579879:c3,98
t1793:c0,t2579879:c3,98
t1793:c0,t2579879:c3,99
t1793:c0,t2682035:c3,96
t1793:c0,t2682035:c3,96
t1793:c0,t2682035:c3,96
t1793:c0,t2918949:c3,99
t1793:c0,t3265765:c3,98
t1793:c0,t3265765:c3,98
t1793:c0,t3265765:c3,96
t1793:c0,t3265765:c3,85
t1793:c0,t3422763:c3,94
t1793:c0,t3422763:c3,94
t1793:c0,t3422763:c3,93
t1793:c0,t3478997:c3,99
t1793:c0,t3504353:c3,90
t1793:c0,t3672929:c3,97
t1793:c0,t3672929:c3,95
t1793:c0,t3672929:c3,96
t1793:c0,t3729280:c3,99
