k;s;d;recall;
462;(81133,1,12);0.308106;1.000000;
463;(45717,0,82);0.308249;1.000000;
464;(110308,0,106);0.308249;1.000000;
465;(18812,1,21);0.308592;1.000000;
466;(88003,1,19);0.308592;1.000000;
467;(92161,1,13);0.308592;1.000000;
468;(30347,1,12);0.309264;1.000000;
469;(30065,2,19);0.309558;1.000000;
470;(3515,0,18);0.309592;1.000000;
471;(71031,0,27);0.309592;1.000000;
472;(4591,2,32);0.309735;1.000000;
473;(8772,1,39);0.309735;1.000000;
474;(56588,2,15);0.310066;1.000000;
475;(90974,1,89);0.310129;1.000000;
476;(98618,1,80);0.310129;1.000000;
477;(63714,3,545);0.310181;1.000000;
478;(45717,0,3);0.310325;1.000000;
479;(83486,4,29);0.310325;1.000000;
480;(110308,0,30);0.310325;1.000000;
481;(75046,1,1);0.310343;1.000000;
482;(99783,1,1);0.310343;1.000000;
483;(30065,2,18);0.310480;1.000000;
484;(53046,1,622);0.310482;1.000000;
485;(47979,0,0);0.310773;1.000000;
486;(39052,2,97);0.310845;1.000000;
487;(87121,0,0);0.310901;1.000000;
488;(78503,2,12);0.310995;1.000000;
489;(89994,2,12);0.310995;1.000000;
490;(34677,0,2);0.311019;1.000000;
491;(455,0,9);0.311092;1.000000;
492;(35961,0,5);0.311092;1.000000;
493;(48573,0,4);0.311092;1.000000;
494;(78011,0,0);0.311092;1.000000;
495;(86391,0,0);0.311092;1.000000;
496;(92708,0,11);0.311092;1.000000;
497;(92734,2,7);0.311092;1.000000;
498;(100426,0,5);0.311092;1.000000;
499;(103288,0,2);0.311092;1.000000;
500;(111412,1,193);0.311092;1.000000;
501;(3515,0,21);0.311356;1.000000;
502;(71031,0,35);0.311356;1.000000;
503;(65326,3,2);0.311589;1.000000;
504;(97916,1,674);0.311668;1.000000;
505;(594,1,17);0.311752;1.000000;
506;(4591,2,42);0.311752;1.000000;
507;(8772,1,50);0.311752;1.000000;
508;(115451,2,43);0.311752;1.000000;
509;(87329,6,82);0.311814;1.000000;
510;(53046,1,634);0.311892;1.000000;
511;(76044,3,1352);0.311926;1.000000;
512;(8278,1,2);0.311985;1.000000;
513;(103768,1,2);0.311985;1.000000;
514;(56958,2,9);0.312067;1.000000;
515;(40669,7,19);0.312069;1.000000;
516;(12744,3,2);0.312145;1.000000;
517;(40961,3,1);0.312145;1.000000;
518;(54111,3,8);0.312145;1.000000;
519;(58524,3,4);0.312145;1.000000;
520;(73040,1,0);0.312145;1.000000;
521;(92728,3,4);0.312145;1.000000;
522;(93335,3,6);0.312145;1.000000;
523;(108421,3,5);0.312145;1.000000;
524;(4160,3,96);0.312233;1.000000;
525;(91404,3,96);0.312233;1.000000;
526;(66296,3,2);0.312330;1.000000;
527;(45001,4,42);0.312331;1.000000;
528;(37079,4,64);0.312553;1.000000;
529;(89954,2,1);0.312762;1.000000;
530;(74770,1,41);0.313051;1.000000;
531;(53197,0,3);0.313273;1.000000;
532;(12272,1,1);0.313329;1.000000;
533;(62844,4,6);0.313395;1.000000;
534;(88475,4,0);0.313461;1.000000;
535;(38465,1,3);0.313537;1.000000;
536;(81776,2,20);0.313537;1.000000;
537;(115396,4,3);0.313537;1.000000;
538;(37026,0,4);0.313573;1.000000;
539;(90230,0,39);0.313831;1.000000;
540;(101099,1,24);0.313936;1.000000;
541;(103210,1,12);0.314002;1.000000;
542;(97804,0,163);0.314022;1.000000;
543;(101731,0,30);0.314022;1.000000;
544;(76757,0,4);0.314099;1.000000;
545;(13715,2,28);0.314197;1.000000;
546;(30065,2,28);0.314212;1.000000;
547;(39061,2,84);0.314363;1.000000;
548;(73002,1,0);0.314935;1.000000;
549;(17891,4,1);0.315219;1.000000;
550;(99223,0,132);0.315379;1.000000;
551;(70174,0,469);0.315385;1.000000;
552;(1184,2,59);0.315551;1.000000;
553;(24418,4,8);0.315551;1.000000;
554;(82465,0,0);0.315551;1.000000;
555;(69410,1,8);0.315581;1.000000;
556;(27637,1,1);0.315598;1.000000;
557;(100112,1,1);0.315598;1.000000;
558;(20840,2,4);0.315721;1.000000;
559;(94954,0,15);0.315792;1.000000;
560;(98882,0,3);0.315797;1.000000;
561;(60933,0,330);0.315836;1.000000;
562;(50593,0,10);0.315874;1.000000;
563;(31790,0,0);0.315901;1.000000;
564;(42483,2,154);0.316055;1.000000;
565;(66432,0,1);0.316128;1.000000;
566;(8849,1,0);0.316232;1.000000;
567;(78454,0,162);0.316301;1.000000;
568;(84954,3,1025);0.316461;1.000000;
569;(7774,0,4);0.316815;1.000000;
570;(91735,3,4);0.317174;1.000000;
571;(84954,3,578);0.317429;1.000000;
572;(4591,2,68);0.317541;1.000000;
573;(8772,1,69);0.317541;1.000000;
574;(115451,2,68);0.317541;1.000000;
575;(4591,2,70);0.318000;1.000000;
576;(8772,1,71);0.318000;1.000000;
577;(7821,0,7);0.318159;1.000000;
578;(79916,1,0);0.318177;1.000000;
579;(111746,0,0);0.318257;1.000000;
580;(8772,1,42);0.318263;1.000000;
581;(115451,2,35);0.318263;1.000000;
582;(83810,3,265);0.318313;1.000000;
583;(100302,9,1251);0.318345;1.000000;
584;(30802,1,29);0.318555;1.000000;
585;(14901,1,12);0.318642;1.000000;
586;(7369,0,22);0.319213;1.000000;
587;(9175,0,22);0.319213;1.000000;
588;(10283,0,22);0.319213;1.000000;
589;(11835,0,9);0.319213;1.000000;
590;(13459,0,22);0.319213;1.000000;
591;(19230,0,22);0.319213;1.000000;
592;(21879,0,12);0.319213;1.000000;
593;(24739,0,22);0.319213;1.000000;
594;(24806,0,20);0.319213;1.000000;
595;(24922,0,22);0.319213;1.000000;
596;(28086,0,20);0.319213;1.000000;
597;(29659,0,6);0.319213;1.000000;
598;(30131,0,6);0.319213;1.000000;
599;(33418,0,22);0.319213;1.000000;
600;(33929,0,22);0.319213;1.000000;
601;(39552,0,15);0.319213;1.000000;
602;(39817,0,22);0.319213;1.000000;
603;(40000,0,22);0.319213;1.000000;
604;(41279,0,13);0.319213;1.000000;
605;(43003,0,22);0.319213;1.000000;
606;(44001,0,20);0.319213;1.000000;
607;(44856,0,22);0.319213;1.000000;
608;(45089,0,22);0.319213;1.000000;
609;(49783,0,22);0.319213;1.000000;
610;(51320,0,9);0.319213;1.000000;
611;(52426,0,22);0.319213;1.000000;
612;(52897,0,22);0.319213;1.000000;
613;(55222,0,9);0.319213;1.000000;
614;(56589,0,8);0.319213;1.000000;
615;(56776,0,9);0.319213;1.000000;
616;(57556,0,20);0.319213;1.000000;
617;(57970,0,20);0.319213;1.000000;
618;(58987,0,8);0.319213;1.000000;
619;(60313,0,22);0.319213;1.000000;
620;(62478,0,5);0.319213;1.000000;
621;(63230,0,22);0.319213;1.000000;
622;(63336,0,22);0.319213;1.000000;
623;(71688,0,22);0.319213;1.000000;
624;(72376,0,22);0.319213;1.000000;
625;(73884,0,22);0.319213;1.000000;
626;(76199,0,22);0.319213;1.000000;
627;(76342,0,22);0.319213;1.000000;
628;(77902,0,22);0.319213;1.000000;
629;(80206,0,22);0.319213;1.000000;
630;(81745,0,5);0.319213;1.000000;
631;(81912,0,22);0.319213;1.000000;
632;(81954,0,20);0.319213;1.000000;
633;(84560,0,9);0.319213;1.000000;
634;(84990,0,22);0.319213;1.000000;
635;(89308,0,6);0.319213;1.000000;
636;(90374,0,22);0.319213;1.000000;
637;(93015,0,22);0.319213;1.000000;
638;(93810,0,12);0.319213;1.000000;
639;(94215,0,12);0.319213;1.000000;
640;(94690,0,22);0.319213;1.000000;
641;(95334,0,6);0.319213;1.000000;
642;(97547,0,6);0.319213;1.000000;
643;(97734,0,6);0.319213;1.000000;
644;(98422,0,22);0.319213;1.000000;
645;(98709,0,6);0.319213;1.000000;
646;(101817,0,9);0.319213;1.000000;
647;(108294,0,8);0.319213;1.000000;
648;(108304,0,17);0.319213;1.000000;
649;(109750,0,22);0.319213;1.000000;
650;(111791,0,6);0.319213;1.000000;
651;(112949,0,22);0.319213;1.000000;
652;(115292,0,9);0.319213;1.000000;
653;(45717,0,14);0.319229;1.000000;
654;(110308,0,41);0.319229;1.000000;
655;(98398,0,9);0.319282;1.000000;
656;(113772,0,2);0.319338;1.000000;
657;(46373,4,5);0.319357;1.000000;
658;(52853,0,1);0.319357;1.000000;
659;(73075,0,0);0.319357;1.000000;
660;(89709,1,0);0.319357;1.000000;
661;(91796,0,7);0.319357;1.000000;
662;(100659,0,0);0.319357;1.000000;
663;(8772,1,78);0.319415;1.000000;
664;(115451,2,75);0.319415;1.000000;
